,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,rnb,3ibKnFDaa3GhpPGlOUj7ff,80,False,Let Me Love You,Mario,0.656,0.578,7,-8.97,0,0.0922,0.235,0.0,0.118,0.556,94.514,4
1,rnb,2aIdVb8v9KTpEZnftkz2mD,78,False,Buy U a Drank (Shawty Snappin'),T-Pain,0.451,0.55,1,-8.137,1,0.262,0.0108,0.0,0.0737,0.594,80.001,4
2,rnb,0JC3ynTNoZaWjZHXzeapYy,66,False,Into You (feat. Fabolous),Tamia,0.677,0.531,7,-7.683,0,0.0327,0.219,0.0,0.173,0.57,91.104,4
3,rnb,7DFnq8FYhHMCylykf6ZCxA,69,False,Yo (Excuse Me Miss),Chris Brown,0.536,0.612,4,-5.847,1,0.272,0.119,0.0,0.209,0.57,86.768,4
4,rnb,39YovPslPCXbFYhlYjsZ2Y,67,False,Don't Mess With My Man,Nivea,0.879,0.73,11,-4.369,0,0.164,0.114,0.0,0.241,0.885,99.925,4
5,rnb,3LmvfNUQtglbTrydsdIqFU,72,False,We Belong Together,Mariah Carey,0.838,0.469,0,-7.992,1,0.0835,0.0358,0.0,0.0928,0.778,139.975,4
6,rnb,2RqZFOLOnzVmHUX7ZMcaES,68,False,Let It Go,Keyshia Cole,0.812,0.721,6,-5.084,1,0.206,0.194,0.0,0.248,0.772,94.939,4
7,rnb,5cU50IAoAFF7qFWOtdbEjr,64,False,I Need a Girl,Trey Songz,0.602,0.785,7,-6.129,1,0.0578,0.245,0.0,0.19,0.565,84.038,4
8,rnb,2QsZVnbWVSjKMXK6K3uRBL,76,False,U Remind Me,Usher,0.657,0.629,6,-4.938,1,0.0782,0.194,0.0,0.254,0.726,93.985,4
9,rnb,0Uyh92tLyb9JawG8lmWCzJ,71,False,Differences,Ginuwine,0.562,0.594,3,-4.578,0,0.0558,0.318,0.0,0.311,0.423,62.876,4
10,rnb,5Y77SQxEr1eiofPeUTPHxM,72,False,You,Lloyd,0.565,0.873,5,-5.906,0,0.434,0.107,0.0,0.332,0.755,130.422,5
11,rnb,6zMUIb4uce1CzpbjR3vMdN,74,True,Foolish,Ashanti,0.477,0.728,0,-5.71,1,0.0831,0.358,0.0,0.11,0.69,89.209,4
12,rnb,74jMwg2zsFMICzW3Wems6h,69,False,"Bump, Bump, Bump",B2K,0.833,0.681,1,-6.028,0,0.215,0.0956,0.0,0.0414,0.887,95.48,4
13,rnb,6XsT5UGfpaFeHQf5LRIy4W,68,False,"Me, Myself and I",Beyoncé,0.75,0.458,1,-9.092,1,0.0803,0.226,3.25e-05,0.137,0.536,83.61,4
14,rnb,5rPzPAaOUceS8HiAculegz,69,False,Bad Girl,Usher,0.777,0.829,6,-6.905,0,0.268,0.245,0.0,0.207,0.835,87.998,4
