,Genre,ID,popularity,is_exp,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,rnb,2GlATHCDbLW7xq5BE0Bz5g,78,True,Shot Clock,0.512,0.512,4,-6.008,0,0.285,0.654,0.0,0.148,0.434,95.11,1
1,rnb,0PG9fbaaHFHfre2gUVo7AN,93,True,Please Me,0.747,0.57,1,-6.711,1,0.081,0.0642,0.0,0.0832,0.65,133.992,4
2,rnb,2m1JKNrEQA37VibuKSMJEH,70,True,You (Remix) feat. Blueface - Remix,0.723,0.43,8,-9.08,0,0.0569,0.464,0.0,0.112,0.332,114.94,4
3,rnb,14SaZBTjxlorHJQxXh01Hu,83,True,Girls Need Love (with Drake) - Remix,0.656,0.432,6,-9.481,0,0.217,0.443,0.0,0.132,0.0897,97.022,4
4,rnb,6lzLjIOyWTyTJvk0jraYee,79,False,Could've Been (feat. Bryson Tiller),0.545,0.33,1,-11.719,0,0.164,0.64,7e-06,0.22,0.399,103.553,4
5,rnb,2qHk6Nz5glNQrjW8Rhd5kv,77,True,Waves (feat. 6LACK),0.578,0.588,0,-4.92,0,0.255,0.415,0.0,0.114,0.3,79.174,5
6,rnb,0rTV5WefWd1J3OwIheTzxM,95,False,Talk,0.9,0.4,0,-8.443,1,0.124,0.0501,0.0,0.0876,0.338,136.001,4
7,rnb,6PlrGEPaisOqBiDlwW6Ic0,70,True,"NoBody Else (feat. Nick Cannon, Ty Dolla $ign & Jacquees)",0.801,0.501,0,-6.364,1,0.269,0.188,0.0,0.0211,0.902,140.077,4
8,rnb,7uiBocndm12aKbsdnQ3Scx,85,True,Undecided,0.441,0.527,3,-5.318,1,0.0966,0.172,0.0,0.233,0.589,96.37,4
9,rnb,4LfoYkTuIPgJ2RlNkN5P5C,70,True,EX - Remix,0.775,0.537,0,-6.978,1,0.141,0.326,0.0,0.0792,0.403,73.484,4
10,rnb,5dXI2NV7X2c4anyLFbQdEX,79,False,Honesty,0.616,0.204,6,-11.421,0,0.0331,0.919,0.0,0.106,0.419,79.826,4
11,rnb,0UvBmQOhu4DVXJtdzGc5eV,75,True,Chi Chi (feat. Chris Brown),0.744,0.549,9,-6.041,0,0.0387,0.548,0.0,0.137,0.277,110.004,4
12,rnb,4BOikd4oZjOYMde9AXfrTo,76,True,Feels,0.369,0.609,9,-4.477,0,0.184,0.259,4.1e-05,0.133,0.381,80.362,1
13,rnb,0bxmVPKnEopTyuMMkaTvUb,69,True,Issues/Hold On,0.528,0.523,7,-4.82,1,0.0523,0.833,1.53e-06,0.103,0.692,93.06,4
14,rnb,0TtSoFrbLGjmpIgY4KgBeq,72,True,King James,0.731,0.877,7,-8.497,1,0.078,0.0689,9.82e-05,0.0436,0.891,107.891,4
15,rnb,23c9gmiiv7RCu7twft0Mym,78,True,Who Hurt You?,0.649,0.493,11,-7.645,0,0.11,0.586,0.000167,0.0667,0.277,104.542,4
16,rnb,5ym4GENsMc7VbZVYyulq84,70,False,Roll Some Mo,0.405,0.508,11,-9.028,1,0.0596,0.258,0.0479,0.142,0.371,74.701,4
17,rnb,47OqtEbWGkG6eDNGUNCYYB,73,False,Hard Place,0.614,0.719,9,-4.694,1,0.0955,0.179,1.72e-05,0.163,0.34,160.075,4
18,rnb,4at3d5QWnlibMVN75ECDrp,82,True,Pretty Little Fears (feat. J. Cole),0.611,0.466,9,-11.361,1,0.372,0.711,0.000264,0.0847,0.223,192.08,4
19,rnb,1DUSuNhF8P5vUGNPpQiZa5,91,False,My Bad,0.645,0.568,5,-9.127,0,0.0823,0.543,0.266,0.257,0.391,84.999,4
20,rnb,6IAgarq2wDeYzpsY2Kx0Hw,76,True,Almeda,0.827,0.553,1,-5.296,1,0.032,0.0227,1.52e-05,0.176,0.0631,110.015,4
21,rnb,1CVAENDG5VY05pEHh0ViXL,77,True,Shea Butter Baby (with J. Cole),0.702,0.614,0,-4.385,1,0.0786,0.134,0.00391,0.173,0.047,155.173,4
22,rnb,2CI2yyRfxB0HhEnXso3yLB,65,False,Greatest Love,0.687,0.723,8,-5.126,0,0.0902,0.183,0.0,0.0996,0.58,119.991,4
23,rnb,6hR9oWhCZcH5Pgp8hwOjsT,69,False,Jill (Sumn Real),0.337,0.461,10,-9.195,0,0.218,0.146,0.0,0.409,0.354,85.419,4
24,rnb,3myKrRi0ZXU9pRfGgpUCTj,70,False,The One - Radio Edit,0.482,0.714,0,-7.689,0,0.0518,0.204,0.000239,0.0973,0.536,82.019,4
25,rnb,479acVfQ74icOy772hE1ba,66,True,Fight for You,0.532,0.473,7,-5.934,1,0.0438,0.0756,7.83e-06,0.111,0.167,100.168,4
26,rnb,6P6dKUam0DXUnhx4EUGciZ,69,True,Type a Way (feat. Chris Brown & OG Parker),0.777,0.545,6,-5.009,1,0.0686,0.0429,0.0,0.0751,0.68,75.01,4
27,rnb,6ZRuF2n1CQxyxxAAWsKJOy,88,True,Nights Like This (feat. Ty Dolla $ign),0.61,0.725,8,-5.131,1,0.15,0.367,0.0,0.154,0.291,146.163,4
28,rnb,5qEsQiKndh4h3d16LiZs5x,67,False,Raise A Man,0.244,0.482,6,-5.574,0,0.0305,0.831,2.27e-05,0.0894,0.41,169.658,4
29,rnb,2AaF78iCWISMWYog5RnSi5,76,False,Preach,0.508,0.729,11,-5.712,0,0.0443,0.0681,0.0,0.1,0.412,91.906,4
30,rnb,11aPoQJ6CwjWqHplsV54oC,59,False,Butterfly,0.583,0.345,5,-8.044,0,0.0709,0.886,0.0,0.166,0.701,79.107,4
31,rnb,1cPBPL1FlwRM7mYXixVmJB,66,True,Thursday,0.314,0.399,5,-9.199,1,0.0501,0.692,0.00419,0.11,0.302,169.525,4
32,rnb,6cZ7aS2UC3hfUyqJhwHb4G,68,True,Grave,0.653,0.468,1,-12.101,1,0.0572,0.0504,7.9e-05,0.372,0.199,96.931,4
33,rnb,2qfWkO1ZRcSdeHb1Cb3xIi,68,True,Serious,0.69,0.635,1,-7.624,1,0.34,0.132,0.0,0.362,0.569,144.065,4
34,rnb,4KhMkiipzCiiP0CbO5aAQg,65,True,Dirty,0.717,0.486,6,-5.664,0,0.15,0.381,0.0,0.123,0.072,86.58,4
35,rnb,5FpLsvdRNgWSEBWHx2VIkH,73,True,FlEXiBle (feat. Chris Brown & Lil Baby),0.689,0.817,1,-4.503,1,0.0378,0.0786,0.0,0.105,0.865,160.046,4
36,rnb,5CJD51sC5P3Nf4U3D7AVc3,67,False,Midnight (with Tessa Thompson & Gunna ),0.796,0.603,7,-6.838,0,0.0502,0.395,0.00166,0.105,0.431,99.989,4
37,rnb,2vXKRlJBXyOcvZYTdNeckS,74,True,Lost in the Fire (feat. The Weeknd),0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,4
38,rnb,2GATPLRMzHNwUmkxGgCoEP,61,True,I Like That - Recorded at Spotify Studios NYC,0.522,0.527,0,-7.358,1,0.0631,0.285,2.18e-06,0.184,0.426,130.323,4
