,Genre,ID,popularity,is_exp,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
0,pop,6u7jPi22kF8CTQ3rb9DHE7,87,False,Old Town Road - Remix,Lil Nas X,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,4
1,pop,2qxmye6gAegTMjLKEBoR3d,94,False,Let Me Down Slowly,Alec Benjamin,0.652,0.557,1,-5.714,0,0.0318,0.74,0.0,0.124,0.483,150.073,4
2,pop,5WHTFyqSii0lmT9R21abT8,94,False,Don't Call Me Up,Mabel,0.674,0.881,9,-2.853,1,0.147,0.296,3.01e-06,0.0793,0.234,98.994,4
3,pop,09oZ9eXQ2fo6YDrPzJqAoP,83,False,Outta My Head (with John Mayer),Khalid,0.729,0.545,0,-7.818,1,0.0316,0.0174,0.000274,0.369,0.514,103.012,4
4,pop,18PergoIrGmRyeYxnaXJN2,77,False,Kill This Love,BLACKPINK,0.766,0.855,2,-4.086,0,0.174,0.302,0.00308,0.291,0.667,132.022,4
5,pop,4y3OI86AEP6PQoDE6olYhO,98,False,Sucker,Jonas Brothers,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4
6,pop,2Fxmhks0bxGSBdJ92vM42m,97,False,bad guy,Billie Eilish,0.708,0.418,0,-10.998,1,0.368,0.308,0.093,0.1,0.578,131.926,4
7,pop,5icOoE6VgqFKohjWWNp0Ac,93,False,Here With Me,Marshmello,0.791,0.565,5,-3.933,0,0.0439,0.0623,0.0,0.156,0.181,99.961,4
8,pop,6ya8ejoKgw906Y8LWclqrp,84,True,Racks In The Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,0.671,0.833,5,-5.152,0,0.395,0.0825,0.0,0.0726,0.702,79.351,4
9,pop,6tsOcBnaKgzK22yEiqRh8P,87,True,MONOPOLY (with Victoria Monét),Ariana Grande,0.892,0.507,0,-8.282,1,0.378,0.704,3.14e-05,0.109,0.695,143.96,4
10,pop,7hzlzoOwCZ4D3Ow5YZK4kj,83,False,Insomnia,Daya,0.754,0.653,7,-5.095,1,0.0611,0.0944,0.0,0.383,0.379,123.084,4
11,pop,7njKgVl3AnLflRad38o7AG,78,True,Paradise,Bazzi,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,4
12,pop,3npzogdOEiVsieXmmhBepL,86,False,The Bones,Maren Morris,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,4
13,pop,1wJRveJZLSb1rjhnUHQiv6,94,True,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,4
14,pop,5SHhPFh68OhUmuRPymKX9d,86,True,Undrunk,FLETCHER,0.679,0.572,5,-6.703,1,0.0781,0.455,2.41e-06,0.127,0.542,92.859,4
